url,area,apartment type,size(sqm),bedrooms,age,price(USD/month),Concierge,Children's Pool,Pets Allowed,Furnished,Private Pool,Study,Lobby in Building,Partlyfurnished,Maids Room,View of Water,Central A/C,Shared Spa,Barbecue Area,Private Jacuzzi,Children's Play Area,Maid Service,Private Garden,Covered Parking,Kitchen Appliances,Shared Pool,ViewofLandmark,Walk-in Closet,Shared Gym,Private Gym,View of Landmark,Balcony,Built in Wardrobes,Vastu-compliant,Security
https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-village-triangle-the-imperial-residence-the-imperial-residence-b-9248726.html?fbclid=IwAR1WtHkFsd8jf1Z9Q9OiLZMqTvYCy7X0in5HsuvUmb1bQA0IJKw8DXMTq1p,Jumeirah Village Triangle,Apartment,74,1,9,1102.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1
https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-dubai-land-villanova-amaranta-9196529.html?fbclid=IwAR02JkgHhO4_5-B2kHtjY2RFFzsqhvlCqdyEhlos_6kTIXRhsqyIiPDifAt,Dubai Land,Townhouse,158,3,-1,2700.0000000000005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-burj-vista-burj-vista-1-9230395.html?38ca5c0407=23e88b7c42&387b660a57=100d0ca94b&3da10b1a9c=557e1aedab&c035c91bed=950809dee3&0103163635=bb885b5486&fbclid=IwAR2JnkwC8EBZ-4YgZzrwvMggycT_XybhzRhbKhycwXA7gJ4K9p-E_x7Mxt_,Downtown Dubai,Apartment,124,2,6,4050.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-creek-harbour-the-lagoons-harbour-gate-harbour-gate-tower-2-9144827.html,Dubai Creek Harbour (The Lagoons),Apartment,107,2,-1,2812.4775000000004,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1
https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-beach-residence-murjan-murjan-2-9168946.html,Jumeirah Beach Residence,Apartment,66,0,-1,2137.5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1
https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-palm-jumeirah-garden-homes-garden-homes-frond-p-9252702.html,Palm Jumeirah,Villa,622,4,-1,29250.0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1
https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-dubai-waterfront-badrah-badrah-townhouses-8447677.html,Dubai Waterfront,Townhouse,117,2,-1,1451.25,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1
https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-the-address-sky-view-towers-the-address-sky-view-tower-1-9250395.html,Downtown Dubai,Apartment,123,2,4,7875.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1
https://www.propertyfinder.ae/en/plp/rent/townhouse-for-rent-dubai-dubai-waterfront-badrah-badrah-townhouses-8447666.html,Dubai Waterfront,Townhouse,117,2,-1,1451.25,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-dubai-land-villanova-amaranta-9198299.html,Dubai Land,Villa,248,4,-1,3375.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-al-sahab-al-sahab-1-9163816.html?fbclid=IwAR2b6CThCAcsR4syTdrr5YkNEdJsJYo-24MuRnoCJZZrRxRpbnIjfDMT7xV,Dubai Marina,Apartment,85,1,-1,2137.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-al-kifaf-wasl1-1-residences-9271277.html?fbclid=IwAR2qMgO_dbGpW098zknLjUkWIM4VnG-Iz4HoGBgkcAJu5lu9_1Pt9sgJGwQ,Al Kifaf,Apartment,144,2,-1,3375.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1
https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-arabian-ranches-saheel-saheel-1-9174790.html,Arabian Ranches,Villa,770,5,-1,9449.955,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-creek-harbour-the-lagoons-harbour-gate-harbour-gate-tower-2-9269733.html,Dubai Creek Harbour (The Lagoons),Apartment,100,2,-1,2925.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1
https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-the-torch-9277281.html?fbclid=IwAR2pwSGoD3ItE2aGUjwHGOz3U2DdnScds1k_GjuAVNWnLxuZpoexihk1DOD,Dubai Marina,Apartment,117,2,12,3600.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-international-city-england-cluster-x16-9256996.html,International City,Apartment,45,0,-1,495.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-silicon-oasis-emerald-residence-9232321.html,Dubai Silicon Oasis,Apartment,116,2,-1,1575.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1
https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-the-address-sky-view-towers-the-address-sky-view-tower-1-9241476.html?6003381d2d=1213a01b67&45bb07a427=c73135060d&5160078e9b=9ae25021c5&2c0d136c72=699d3c3a23&a055a7a22a=6c7a3a5156&fbclid=IwAR1BLJjNb6cLsIS1Di3lfTskpJqoARW-qo9xDx5OH0vsq496bd9aijdrF6d,Downtown Dubai,Apartment,123,2,4,7200.0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1
https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-downtown-dubai-burj-khalifa-area-opera-grand-9086215.html,Downtown Dubai,Apartment,190,3,2,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-park-island-sanibel-tower-9280377.html?fbclid=IwAR0CpTjxlE-i_I8nNfO78GYlv99FZK0Scv6kT0Qirz5pNruhNv8pBLmq-Oo,Dubai Marina,Apartment,84,1,13,2925.0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
